distance,speed,throttle,brake,gear,driver_code
4.8566666666666665,282.0,100.0,False,7,VER
27.17888888888889,287.0,100.0,False,7,VER
49.73444444444444,290.0,100.0,False,7,VER
69.13444444444444,291.0,100.0,False,7,VER
85.52333333333334,295.0,100.0,False,7,VER
121.94555555555556,298.0,100.0,False,8,VER
148.6122222222222,300.0,100.0,False,8,VER
172.25666666666663,304.0,100.0,False,8,VER
196.05666666666664,306.0,100.0,False,8,VER
223.52333333333328,309.0,100.0,False,8,VER
237.30111111111108,310.0,100.0,False,8,VER
264.9455555555556,311.0,100.0,False,8,VER
285.8122222222222,313.0,100.0,False,8,VER
306.74555555555554,314.0,100.0,False,8,VER
320.74555555555554,315.0,100.0,False,8,VER
334.8330555555555,315.0,100.0,False,8,VER
366.5330555555555,317.0,100.0,False,8,VER
384.1997222222222,318.0,100.0,False,8,VER
416.0111111111111,319.0,100.0,False,8,VER
433.7333333333333,319.0,100.0,False,8,VER
447.95555555555546,320.0,100.0,False,8,VER
472.92222222222216,321.0,100.0,False,8,VER
487.18888888888887,321.0,100.0,False,8,VER
508.6555555555556,322.0,100.0,False,8,VER
526.5444444444445,322.0,100.0,False,8,VER
548.0111111111111,322.0,100.0,False,8,VER
569.5444444444444,323.0,100.0,False,8,VER
583.9,323.0,100.0,False,8,VER
605.5,324.0,100.0,False,8,VER
623.4444444444445,323.0,100.0,False,8,VER
651.8,319.0,100.0,False,8,VER
665.8444444444444,316.0,100.0,False,8,VER
683.2333333333333,313.0,96.0,True,8,VER
703.1666666666666,299.0,0.0,True,8,VER
721.8333333333333,280.0,0.0,True,8,VER
736.3333333333334,261.0,0.0,True,7,VER
754.6111111111111,235.0,0.0,True,7,VER
775.6111111111111,210.0,0.0,True,5,VER
793.0333333333333,196.0,0.0,True,5,VER
807.6555555555555,188.0,0.0,True,5,VER
817.6555555555555,180.0,5.0,False,5,VER
832.9444444444443,172.0,43.0,False,5,VER
840.5888888888888,172.0,43.0,False,5,VER
850.3038888888888,174.0,62.0,False,5,VER
872.1816666666666,179.0,87.0,False,5,VER
880.1372222222221,179.0,87.0,False,5,VER
901.9713888888888,197.0,100.0,False,5,VER
910.8602777777776,200.0,100.0,False,5,VER
919.9713888888888,205.0,100.0,False,5,VER
936.5380555555554,213.0,100.0,False,5,VER
948.6491666666666,218.0,100.0,False,5,VER
961.0380555555554,223.0,100.0,False,5,VER
981.4824999999998,230.0,100.0,False,5,VER
999.8380555555552,236.0,100.0,False,5,VER
1013.1713888888888,240.0,100.0,False,5,VER
1023.8380555555552,240.0,100.0,False,6,VER
1048.8380555555552,250.0,100.0,False,6,VER
1071.238055555555,252.0,100.0,False,6,VER
1099.4602777777775,254.0,100.0,False,6,VER
1110.7491666666665,254.0,100.0,False,6,VER
1133.415833333333,255.0,100.0,False,6,VER
1144.7491666666665,255.0,100.0,False,6,VER
1161.9491666666663,258.0,0.0,False,6,VER
1178.3491666666664,246.0,27.0,False,6,VER
1189.0602777777774,241.0,26.0,False,6,VER
1207.026944444444,231.0,39.0,False,6,VER
1232.471388888889,229.0,80.0,False,6,VER
1250.2824999999996,229.0,89.0,False,6,VER
1271.1474999999996,234.0,100.0,False,6,VER
1286.9474999999995,237.0,100.0,False,6,VER
1297.703055555555,242.0,100.0,False,6,VER
1318.7697222222216,237.0,59.0,False,6,VER
1331.714166666666,233.0,26.0,False,6,VER
1349.461666666666,229.0,43.0,False,6,VER
1366.8061111111103,223.0,64.0,False,6,VER
1379.3061111111103,225.0,82.0,False,6,VER
1396.8061111111103,225.0,94.0,False,6,VER
1414.5394444444437,228.0,100.0,False,6,VER
1427.372777777777,231.0,100.0,False,6,VER
1440.483888888888,236.0,100.0,False,6,VER
1456.4172222222212,239.0,96.0,True,6,VER
1472.083888888888,235.0,0.0,True,6,VER
1484.083888888888,216.0,0.0,True,5,VER
1493.5505555555546,213.0,0.0,True,5,VER
1511.3283333333325,200.0,0.0,False,5,VER
1522.2172222222214,196.0,0.0,False,5,VER
1532.9394444444436,193.0,9.0,False,5,VER
1547.6394444444436,189.0,80.0,False,5,VER
1565.1505555555548,197.0,79.0,False,5,VER
1585.250555555555,201.0,81.0,False,5,VER
1605.6505555555543,204.0,94.0,False,5,VER
1619.4505555555547,207.0,100.0,False,5,VER
1628.961666666666,214.0,100.0,False,5,VER
1651.3616666666658,224.0,100.0,False,5,VER
1671.869999999999,230.0,100.0,False,5,VER
1682.1366666666656,231.0,100.0,False,6,VER
1705.5366666666655,234.0,100.0,False,6,VER
1716.0255555555543,236.0,100.0,False,6,VER
1731.892222222221,238.0,100.0,False,6,VER
1745.28111111111,241.0,100.0,False,6,VER
1769.413888888888,242.0,100.0,False,6,VER
1780.3027777777768,245.0,100.0,False,6,VER
1802.258333333332,247.0,100.0,False,6,VER
1813.324999999999,249.0,100.0,False,6,VER
1824.4361111111095,250.0,100.0,False,6,VER
1838.43611111111,252.0,100.0,False,6,VER
1852.547222222221,254.0,100.0,False,6,VER
1869.6805555555543,257.0,100.0,False,6,VER
1884.1249999999984,260.0,100.0,False,6,VER
1898.6249999999989,261.0,100.0,False,6,VER
1913.2916666666652,264.0,100.0,False,7,VER
1925.0694444444432,265.0,100.0,False,7,VER
1936.93611111111,267.0,100.0,False,7,VER
1967.047222222221,271.0,100.0,False,7,VER
1982.213888888888,273.0,100.0,False,7,VER
2003.6027777777765,275.0,100.0,False,7,VER
2028.2249999999988,277.0,100.0,False,7,VER
2056.2249999999985,280.0,100.0,False,7,VER
2071.891666666665,282.0,100.0,False,7,VER
2084.4249999999984,282.0,100.0,False,7,VER
2103.358333333332,284.0,100.0,False,7,VER
2119.191666666665,285.0,100.0,False,7,VER
2141.515555555554,286.0,100.0,False,7,VER
2157.459999999998,287.0,100.0,False,7,VER
2186.4599999999987,290.0,100.0,False,7,VER
2205.793333333332,290.0,100.0,False,7,VER
2218.7711111111093,292.0,100.0,False,7,VER
2234.88222222222,290.0,0.0,True,7,VER
2253.537499999998,281.0,0.0,True,7,VER
2271.6708333333318,272.0,44.0,False,7,VER
2292.437499999998,267.0,100.0,False,7,VER
2307.326388888888,268.0,100.0,False,7,VER
2322.270833333332,269.0,100.0,False,7,VER
2337.048611111109,266.0,47.0,True,7,VER
2357.493055555554,230.0,0.0,True,7,VER
2371.2263888888874,206.0,0.0,True,7,VER
2379.937499999998,196.0,0.0,True,6,VER
2391.404166666665,172.0,0.0,True,5,VER
2398.3819444444425,157.0,0.0,True,4,VER
2409.815277777776,147.0,0.0,True,4,VER
2420.937499999998,143.0,6.0,False,4,VER
2428.6597222222204,139.0,22.0,False,4,VER
2441.370833333332,143.0,62.0,False,4,VER
2452.8819444444425,148.0,71.0,False,4,VER
2469.1819444444427,163.0,100.0,False,4,VER
2476.826388888888,172.0,100.0,False,4,VER
2486.826388888888,180.0,100.0,False,4,VER
2495.004166666665,184.0,100.0,False,4,VER
2508.004166666665,195.0,100.0,False,4,VER
2521.404166666665,201.0,100.0,False,4,VER
2533.017499999998,208.0,100.0,False,4,VER
2555.017499999998,220.0,100.0,False,5,VER
2570.017499999998,225.0,100.0,False,5,VER
2590.6397222222204,232.0,100.0,False,5,VER
2601.173055555554,237.0,100.0,False,5,VER
2614.561944444443,241.0,100.0,False,6,VER
2636.271666666665,245.0,100.0,False,6,VER
2647.382777777776,250.0,100.0,False,6,VER
2667.1383333333315,254.0,100.0,False,6,VER
2702.071666666665,262.0,100.0,False,6,VER
2716.682777777776,263.0,100.0,False,6,VER
2737.216111111109,264.0,100.0,False,6,VER
2760.8605555555537,266.0,100.0,False,6,VER
2785.660555555554,248.0,0.0,True,6,VER
2804.4161111111093,211.0,0.0,True,6,VER
2819.1161111111096,189.0,0.0,True,6,VER
